alpha,chi,q,initial,final,status,omega_res_M,separation_M,tidal_strength,r_99_over_b,landau_zener_z,depletion_probability,numerical_error,systematic_error,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs,eta_M_real,eta_M_imag,eta_M_abs
0.25,0.7959734945938708,0.0001,21+1,21-1,tidal_expansion_invalid,2.6106406305695384e-05,1136.3612448440008,6.81476302567795e-14,0.15375988792871711,0.016853882296857674,0.10048186591969774,1.9108170303438776e-09,72.98729869155109,covariant adiabatic IRG tide; global binary effects excluded,575.9999999999978,-0.0,575.9999999999978,-1.0302027814897534,-468.3495376987599,468.35067073765686,3.4609009266547064,-467.10589047435684,467.118711625927,2.358521967050105e-13,-3.1832159514810214e-11,3.1833033245906884e-11
0.25,0.46911119480762914,0.0001,32+2,32+0,ok,6.233846494285711e-07,13703.886086998355,3.885695641867638e-17,0.02491953506123677,0.03843489991561706,0.21454616809156107,1.0480808200077748e-09,205.3960185613351,covariant adiabatic IRG tide; global binary effects excluded,1410.9060918431073,-0.0,1410.9060918431073,3.4007502442995084e-06,1314.4010911150838,1314.4010911150838,-0.5956038371381569,1314.534383861151,1314.5345187925445,-2.3143352342473788e-17,5.107880526454435e-14,5.107881050756763e-14
0.25,0.46911119480762914,0.0001,32+2,30+0,tidal_expansion_invalid,4.88162443629675e-05,748.6949427238171,2.38278743496146e-13,0.4705304744506031,0.5037424835462886,0.9577903905264837,3.9157369602780414e-07,359.49985789323193,covariant adiabatic IRG tide; global binary effects excluded,-2494.153162899174,0.0,2494.153162899174,266.71234598078826,2348.8367722473245,2363.930975760461,164.10924172081278,2294.9389124123154,2300.7990905166844,3.910374391334057e-11,5.468351604500183e-10,5.482315163253909e-10
0.25,,,43+3,43+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=6.212e-04,,,,,,,,,,,,
0.25,,,43+3,41+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=6.212e-04,,,,,,,,,,,,
0.275,0.8398619844523131,0.0001,21+1,21-1,tidal_expansion_invalid,5.517886034780983e-05,689.9738926684789,3.044402189064194e-13,0.2066032208932632,0.010889613664265017,0.06613319741604595,1.654856263283362e-09,62.66398068849854,covariant adiabatic IRG tide; global binary effects excluded,432.7573253193067,-0.0,432.7573253193067,-2.1264627522719315,-332.60178749162014,332.6085851063644,3.400696721401531,-331.4284019167027,331.4458482697443,1.0353088542978248e-12,-1.0090013523132573e-10,1.0090544660286484e-10
0.275,0.5094294595450876,0.0001,32+2,32+0,ok,1.2251771846494286e-06,8734.040644222263,1.500909042881212e-16,0.03215488561784063,0.026358714131872105,0.15262901834315176,7.754521174917895e-10,183.8948179145012,covariant adiabatic IRG tide; global binary effects excluded,1060.0346294839242,-0.0,1060.0346294839242,9.365506765967795e-06,972.5185074308315,972.5185074308316,-0.7162841468357242,972.6665417577964,972.6668054981881,-1.0750773532581922e-16,1.4598840082322725e-13,1.4598844040826114e-13
0.275,0.5094294595450876,0.0001,32+2,30+0,tidal_expansion_invalid,5.799609802828454e-05,667.4447053194289,3.3632110653998497e-13,0.43177239877899815,0.30439804159689887,0.8523025423457626,6.30526432455768e-08,328.5703187168938,covariant adiabatic IRG tide; global binary effects excluded,-1873.8941870016279,0.0,1873.8941870016279,249.2526617152651,1784.4477083000736,1801.7714930116774,165.88591419838286,1729.9573794638388,1737.892594866215,5.579093422259713e-11,5.818211801282909e-10,5.844899605530511e-10
0.275,,,43+3,43+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=8.262e-04,,,,,,,,,,,,
0.275,,,43+3,41+1,mode_not_converged,,,,,,,,,CF saturation branch failed for 43+3: residual=8.262e-04,,,,,,,,,,,,
