alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message
0.125,0.24594549892517448,32+2,0.12489084434541423,5.897884289166928e-21,6.0000002357090665,-1.2730238597924195e-23,1.0,-1.7811657820259714e-16,1390.4688463324694,2.466342551392644e-12,3.567166101551461e-13,8.129283805133186e-17,True,ok
0.125,0.24594549892517448,32+0,0.12489083485684592,-2.640196988561661e-17,6.000000864341728,2.0895274050692686e-19,0.9999999999999998,1.270453277569212e-16,1390.3513760140909,1.1489402376010637e-12,5.697638469602044e-13,4.9007901145809115e-17,True,ok
0.125,0.24594549892517448,32+2,0.12489084434541423,5.897884289166928e-21,6.0000002357090665,-1.2730238597924195e-23,1.0,-1.7811657820259714e-16,1390.4688463324694,2.466342551392644e-12,3.567166101551461e-13,8.129283805133186e-17,True,ok
0.125,0.24594549892517448,30+0,0.12488450611778212,-2.5344784149849544e-06,5.81908733030503e-07,1.2763905757278872e-08,0.9999999999859046,-1.1133925490689487e-12,1543.1766110684853,2.6211007213266835e-13,7.72838425533813e-07,9.119346124237576e-17,False,mode-function or normalization residual failed
0.125,0.1654372948396467,43+3,0.12493877990648387,2.879718146670528e-30,12.000000046532026,-2.1882733270169943e-33,0.9999999999999996,3.779258060634659e-17,2220.4841822905455,9.763004444949857e-12,9.360053540325207e-13,8.008783516350029e-17,True,ok
0.125,0.1654372948396467,43+1,0.12493877895723587,6.014862945449805e-23,12.00000019543754,-1.9196701375098555e-25,1.0,1.19995835631254e-17,2220.449395242736,5.432976584925325e-12,1.2091884059435765e-12,7.585738130561323e-17,True,ok
0.125,0.1654372948396467,43+3,0.12493877990648387,2.879718146670528e-30,12.000000046532026,-2.1882733270169943e-33,0.9999999999999996,3.779258060634659e-17,2220.4841822905455,9.763004444949857e-12,9.360053540325207e-13,8.008783516350029e-17,True,ok
0.125,0.1654372948396467,41+1,0.12493821549716883,-1.3452249579378826e-11,2.0000000845296464,1.8399966734716603e-14,1.0000000000345812,2.798063305511178e-10,2615.568110231356,1.0503981841937534e-12,3.6958606058845074e-10,4.7204279380026987e-17,True,ok
0.15,0.5491343012133714,21+1,0.14956803799874233,4.5324688737655066e-20,2.000007804188893,-8.17692451207458e-22,1.0000000000000002,2.0774786596908894e-16,504.57562959031554,1.4104202938656593e-13,2.2752612581415798e-12,8.637123470012856e-17,True,ok
0.15,0.5491343012133714,21-1,0.14956683292815431,-4.083770222413152e-09,2.0000078259292113,7.36737803444034e-11,1.0000000010068875,1.4130707926204937e-09,503.3168588296138,8.523738095440143e-14,1.3881772341440498e-11,5.1900722293959653e-17,True,ok
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805530133e-29,12.000000138214812,-1.2683962202689386e-31,0.9999999999999998,3.852480335889337e-16,1539.8770712485918,1.8446539924708047e-11,8.369599514828621e-13,8.008783553179939e-17,True,ok
0.15,0.1978827283895547,43+1,0.14989406794380994,1.6392791719083523e-21,12.000000580520878,-8.980281011209946e-24,0.9999999999999998,2.538803979775031e-16,1539.8263189883005,1.0742081989333273e-11,8.171900509854193e-13,6.504736906260293e-17,True,ok
0.15,0.1978827283895547,43+3,0.14989407135020338,9.724498805530133e-29,12.000000138214812,-1.2683962202689386e-31,0.9999999999999998,3.852480335889337e-16,1539.8770712485918,1.8446539924708047e-11,8.369599514828621e-13,8.008783553179939e-17,True,ok
0.15,0.1978827283895547,41+1,0.14989264408852862,-1.0078935473867389e-10,2.0000002521375566,2.366305053391482e-13,0.9999999999953325,2.146739396277512e-09,1807.1890341777828,1.3611066353116363e-12,1.5519584756039055e-10,8.799433414232742e-17,True,ok
0.175,0.62167828051175,21+1,0.17430824855759772,-5.132200978120538e-19,2.0000186775269877,1.382964782967381e-20,0.9999999999999999,-1.2709396143107253e-16,367.80204853375926,1.0387563729204969e-13,9.812450511107352e-13,5.013567727855404e-17,True,ok
0.175,0.62167828051175,21-1,0.174304596608655,-2.7811918722265915e-08,2.000018775934355,7.494269534350771e-10,1.0000001725205352,-6.5009421320209386e-09,366.0570477779194,4.6595894143312556e-14,7.886509014980363e-12,8.49698499571751e-17,True,ok
