alpha,chi,initial,final,q,eta_abs_M,landau_zener_z,depletion_probability
0.1,0.19791155474884012,32+2,32+0,0.023713737056616554,4.972111966690601e-16,281.5449127562303,1.0
0.1,0.19791155474884012,32+2,32+0,0.03162277660168379,6.57958510669799e-16,370.66111917404294,1.0
0.1,0.19791155474884012,32+2,32+0,0.042169650342858224,8.685223710839318e-16,485.9756770213342,1.0
0.1,0.19791155474884012,32+2,32+0,0.05623413251903491,1.1427710590892672e-15,633.7406622380214,1.0
0.1,0.19791155474884012,32+2,32+0,0.07498942093324558,1.4973221205605214e-15,820.6757215320584,1.0
0.1,0.19791155474884012,32+2,32+0,0.1,1.951312136977949e-15,1053.232117953797,1.0
0.1,0.19791155474884012,32+2,32+0,0.1333521432163324,2.525541799327771e-15,1336.2994382690438,1.0
0.1,0.19791155474884012,32+2,32+0,0.1778279410038923,3.24069066664213e-15,1671.2528022928618,1.0
0.1,0.19791155474884012,32+2,32+0,0.23713737056616552,4.114352571982652e-15,2053.4400410897774,1.0
0.1,0.19791155474884012,32+2,32+0,0.31622776601683794,5.156896117759025e-15,2469.601173178905,1.0
0.1,0.19791155474884012,32+2,32+0,0.4216965034285822,6.366672870086021e-15,2896.234643398652,1.0
0.1,0.19791155474884012,32+2,32+0,0.5623413251903491,7.725800878485699e-15,3300.2894844768084,1.0
0.1,0.19791155474884012,32+2,32+0,0.7498942093324559,9.198301421580916e-15,3643.2774539789734,1.0
0.1,0.19791155474884012,32+2,32+0,1.0,1.073221675337872e-14,3888.617653578741,1.0
0.1,0.1327021676878389,43+3,43+1,0.0001,4.5662276454957043e-20,2.57508191919963,0.9999999059761044
0.1,0.1327021676878389,43+3,43+1,0.0001333521432163324,6.088959369866206e-20,3.433736075030353,0.9999999995732403
0.1,0.1327021676878389,43+3,43+1,0.00017782794100389227,8.119396750789488e-20,4.578621292277039,0.9999999999996794
0.1,0.1327021676878389,43+3,43+1,0.00023713737056616554,1.0826747569360722e-19,6.105086236411055,1.0
0.1,0.1327021676878389,43+3,43+1,0.00031622776601683794,1.443655840194936e-19,8.140190549427695,1.0
0.1,0.1327021676878389,43+3,43+1,0.00042169650342858224,1.9249430464356815e-19,10.853211304811344,1.0
0.1,0.1327021676878389,43+3,43+1,0.0005623413251903491,2.5665919824027833e-19,14.469599363218022,1.0
0.1,0.1327021676878389,43+3,43+1,0.0007498942093324559,3.421963977646606e-19,19.289494210842822,1.0
0.1,0.1327021676878389,43+3,43+1,0.001,4.562122146114141e-19,25.712243116732754,1.0
0.1,0.1327021676878389,43+3,43+1,0.001333521432163324,6.081661319934843e-19,34.26879521888492,1.0
0.1,0.1327021676878389,43+3,43+1,0.0017782794100389228,8.106425117520365e-19,45.6643636361083,1.0
0.1,0.1327021676878389,43+3,43+1,0.0023713737056616554,1.0803695396623572e-18,60.834368300264785,1.0
0.1,0.1327021676878389,43+3,43+1,0.0031622776601683794,1.439560075588674e-18,81.01736365057282,1.0
0.1,0.1327021676878389,43+3,43+1,0.004216965034285823,1.9176680490773365e-18,107.84934329403058,1.0
0.1,0.1327021676878389,43+3,43+1,0.005623413251903491,2.553674913788141e-18,143.48432796958772,1.0
0.1,0.1327021676878389,43+3,43+1,0.007498942093324558,3.3990408779017586e-18,190.74614238979714,1.0
0.1,0.1327021676878389,43+3,43+1,0.01,4.521469572534905e-18,253.31513498787163,1.0
0.1,0.1327021676878389,43+3,43+1,0.01333521432163324,6.009631620001352e-18,335.95017362793044,1.0
0.1,0.1327021676878389,43+3,43+1,0.01778279410038923,7.978952536305966e-18,444.73869809022113,1.0
0.1,0.1327021676878389,43+3,43+1,0.023713737056616554,1.0578460172809216e-17,587.3530250661535,1.0
0.1,0.1327021676878389,43+3,43+1,0.03162277660168379,1.399845366940516e-17,773.265364626846,1.0
0.1,0.1327021676878389,43+3,43+1,0.042169650342858224,1.8478323443348387e-17,1013.832149239344,1.0
0.1,0.1327021676878389,43+3,43+1,0.05623413251903491,2.431312532018663e-17,1322.0963271150138,1.0
