alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message,truncation,real_frequency_relative_to_max_N,gamma_relative_to_max_N,norm_error
0.125,0.1654372948396467,43+1,0.12493877895723587,6.014862941487356e-23,12.00000019543754,-1.919670152917295e-25,0.9999999999999999,2.695413917089441e-17,2220.5098480147635,5.434804658443279e-12,7.2007533922937095e-12,7.585738130561323e-17,True,ok,150,0.0,6.587763109054783e-10,1.1424743875694656e-16
0.125,0.1654372948396467,43+1,0.12493877895723587,6.014862945432416e-23,12.00000019543754,-1.9196701375098555e-25,1.0,1.8851783733853196e-16,2220.509848014761,5.433009619780616e-12,7.200696933902099e-12,7.585738130561323e-17,True,ok,250,0.0,2.8910198103298103e-12,1.8851783733853196e-16
0.125,0.1654372948396467,43+1,0.12493877895723587,6.014862945449805e-23,12.00000019543754,-1.9196701375098555e-25,0.9999999999999996,4.620111627250011e-17,2220.509848014756,5.432976584925325e-12,7.200754922845848e-12,7.585738130561323e-17,True,ok,400,0.0,0.0,4.464860238015049e-16
0.125,0.1654372948396467,43+3,0.12493877990648387,2.8797181467340565e-30,12.000000046532026,-2.1882733270652693e-33,1.0,1.2405676759009137e-16,2220.545263480755,9.769426380667796e-12,7.282264311254397e-13,8.008783516350029e-17,True,ok,150,0.0,2.2060689030573422e-11,1.2405676759009137e-16
0.125,0.1654372948396467,43+3,0.12493877990648387,2.879718146671676e-30,12.000000046532026,-2.188273327017867e-33,0.9999999999999998,3.336953094323968e-27,2220.545263480757,9.763120438803272e-12,7.334474699864163e-13,8.008783516350029e-17,True,ok,250,0.0,3.986549059412001e-13,2.220446049250313e-16
0.125,0.1654372948396467,43+3,0.12493877990648387,2.879718146670528e-30,12.000000046532026,-2.1882733270169943e-33,0.9999999999999998,1.4422960785268832e-16,2220.545263480765,9.763004444949857e-12,7.412726467467175e-13,8.008783516350029e-17,True,ok,400,0.0,0.0,2.647753507365319e-16
0.125,0.1654372948396467,41+1,0.12493821549687105,-1.3622549755315465e-11,2.000000084529647,1.8632903059088446e-14,0.9999999999987358,3.481983675735318e-10,2615.60893661648,4.0044694148914093e-13,1.7430423034463474e-07,5.1900439212157795e-17,False,mode-function or normalization residual failed,150,2.383383593301143e-12,0.012659605735957716,3.4820066256430223e-10
0.125,0.1654372948396467,41+1,0.12493821549714221,-1.34674183789027e-11,2.0000000845296464,1.8420714595878798e-14,0.9999999999708442,3.5139613593873894e-10,2615.608934195022,3.7458728147268164e-13,7.943287954507352e-09,8.277435436026756e-17,True,ok,250,2.1304607969201624e-13,0.0011276031889213523,3.5260360800582414e-10
0.125,0.1654372948396467,41+1,0.12493821549716883,-1.3452249579378826e-11,2.0000000845296464,1.8399966734716603e-14,1.0000000000284681,3.139548025966011e-10,2615.6089344724987,1.0503981841937534e-12,3.509187950818927e-10,4.7204279380026987e-17,True,ok,400,0.0,0.0,3.152428456681035e-10
0.15,0.5491343012133714,21+1,0.1495680379991601,4.668985128208455e-19,2.0000078041888854,-8.423210396974768e-21,1.0,-1.885112128489792e-16,504.5795022102908,7.837558765068016e-14,1.154350583632417e-09,4.857815439303866e-17,True,ok,150,2.793223269867051e-12,9.301196231557423,1.885112128489792e-16
