alpha,chi,initial,final,kind,support,support_inner_M,support_outer_M,relative_amplitude,absolute_amplitude,omega_res_M,physical_kernel_abs,pure_gauge_kernel_abs,shifted_kernel_abs,ward_evaluation,pure_gauge_residual,invariance_residual,off_0p99_residual,off_1p01_residual
0.1,0.3841668178968236,21+1,21-1,polar,cloud_core,229.8353085546457,804.4235799412598,1.0,96293369746.70757,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,1.8368738468801445e-08,1.836873797558118e-08
0.1,0.3841668178968236,21+1,21-1,axial,near_horizon,3.923263697990465,11.923263697990466,0.1,977.3353914617787,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,2.278437134400526e-37,2.0454834322583967e-37
0.1,0.3841668178968236,21+1,21-1,axial,near_horizon,3.923263697990465,11.923263697990466,1.0,9773.353914617786,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,2.1848498557110892e-36,1.0579807388779976e-35
0.1,0.3841668178968236,21+1,21-1,axial,cloud_core,229.8353085546457,804.4235799412598,0.1,20159046828.377956,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,5.111441480251757e-26,5.794110477956922e-26
0.1,0.3841668178968236,21+1,21-1,axial,cloud_core,229.8353085546457,804.4235799412598,1.0,201590468283.77954,3.4025028412820735e-08,8578.918385926054,0.0,8578.918385926054,compact-support Green identity,0.0,0.0,6.628264688277143e-26,5.609477562915122e-26
0.25,0.46911119480762914,32+2,30+0,temporal,near_horizon,3.8831391096006103,11.88313910960061,0.1,1842.590135751479,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,5.244288922268605e-12,5.244252316211536e-12
0.25,0.46911119480762914,32+2,30+0,temporal,near_horizon,3.8831391096006103,11.88313910960061,1.0,18425.901357514787,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,5.244288922268602e-11,5.244252316211545e-11
0.25,0.46911119480762914,32+2,30+0,temporal,cloud_core,70.45576449613156,246.59517573646045,0.1,340666545.14423263,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,0.007052314988184509,0.0070527529844546105
0.25,0.46911119480762914,32+2,30+0,temporal,cloud_core,70.45576449613156,246.59517573646045,1.0,3406665451.442326,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,0.07052314988184512,0.07052752984454608
0.25,0.46911119480762914,32+2,30+0,radial,near_horizon,3.8831391096006103,11.88313910960061,0.1,286.351864885375,4.88162443629675e-05,2123.9607139973227,0.0,2123.9607139973227,compact-support Green identity,0.0,0.0,4.610321254251587e-13,4.610289073400107e-13
