point_id,branch,alpha,chi,state,omega_real_M,gamma_M,separation_real,separation_imag,bilinear_norm_real,bilinear_norm_imag,r_99_M,cf_residual,radial_residual,angular_residual,converged,message,selected_truncation,convergence_history,radial_ode_residual,bilinear_norm_error
a0.125000_32+2_30+0,32+2,0.125,0.24594549892517442,30+0,0.12488450611778214,-2.5344784149849925e-06,5.819087330304327e-07,1.2763905757279062e-08,0.9999999999973559,4.0769080819624826e-13,1543.1866270453456,2.605930657160792e-13,1.7169405995003416e-11,2.0706101779749254e-21,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 1.1395944224601317e-05, ""passed"": true, ""r99_relative"": 6.654867018404916e-06, ""real_relative"": 1.52469357361384e-10, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.3187428687254763e-09,2.6753531438999187e-12
a0.125000_32+2_32+0,32+2,0.125,0.24594549892517442,32+0,0.12489083485684592,-2.6392353192781204e-17,6.000000864341728,2.088766314038724e-19,0.9999999999993454,5.348659119267992e-16,1390.3513759328114,1.1496863485577452e-12,1.3154974837445059e-12,1.459991272176831e-15,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 1.1753443298783348e-19, ""passed"": true, ""r99_relative"": 1.91393709482102e-11, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.0458377383930791e-11,6.54587713839433e-13
a0.125000_32+2_32+2,32+2,0.125,0.24594549892517442,32+2,0.12489084434541423,6.263439731979138e-22,6.0000002357090665,-1.3519268660164794e-24,1.0000000000020466,4.1204576195688547e-16,1390.4688462555134,2.4669155933965756e-12,2.253246852122112e-13,1.4347605442919417e-15,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 8.230253225712112e-22, ""passed"": true, ""r99_relative"": 3.28112225235348e-11, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.3388623068384054e-11,2.0465851650732822e-12
a0.125000_43+3_41+1,43+3,0.125,0.16543729483964664,41+1,0.12493821549716883,-1.3452252285297217e-11,2.0000000845296464,1.8399970435867702e-14,0.9999999999998835,2.7154106139134865e-14,2615.5681135587497,1.1755674912003519e-12,2.206276536918613e-11,2.9641263327187573e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 9.195876621018814e-05, ""passed"": true, ""r99_relative"": 1.333239830340905e-09, ""real_relative"": 1.732804402083105e-14, ""reference_N"": 600, ""reference_mode_converged"": true}]",5.465213224851324e-10,1.1958609867083556e-13
a0.125000_43+3_43+1,43+3,0.125,0.16543729483964664,43+1,0.12493877895723587,1.018626492055476e-21,12.00000019543754,-3.250991546371516e-24,1.0000000000075948,-1.6639759756021778e-15,2220.449394980354,5.431961750421478e-12,7.041507943404549e-13,6.518020866344198e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 0.0, ""passed"": true, ""r99_relative"": 6.043085934746902e-11, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",8.318487858414047e-12,7.594813849139112e-12
a0.125000_43+3_43+3,43+3,0.125,0.16543729483964664,43+3,0.12493877990648387,1.2773066061794326e-21,12.000000046532026,-9.706144262613632e-25,0.9999999999918832,-1.1714851827652308e-16,2220.484181903055,9.766409918006986e-12,4.313895549226236e-13,5.463956816712303e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 3.5377934845399714e-24, ""passed"": true, ""r99_relative"": 3.229599576625515e-11, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",7.046140874623174e-12,8.11684053387991e-12
a0.150000_21+1_21+1,21+1,0.15,0.5491343012133714,21+1,0.14956803799874233,9.119884335728032e-20,2.000007804188893,-1.6452976920312694e-21,0.9999999999997392,-3.2576513328372954e-15,504.5756296021921,1.4023309736216045e-13,1.8390711710741158e-13,1.2467271575743556e-15,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 6.001797644321186e-22, ""passed"": true, ""r99_relative"": 3.0291930796679926e-11, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.1963990365157902e-10,2.6081173401488913e-13
a0.150000_21+1_21-1,21+1,0.15,0.5491343012133714,21-1,0.14956683292815431,-4.083770222423789e-09,2.0000078259292113,7.367378034459531e-11,1.0000000000006435,-2.05724724308792e-15,503.31685818810007,8.525963482323798e-14,7.37200070622308e-13,1.1589387912585393e-15,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 2.7902040167201e-07, ""passed"": true, ""r99_relative"": 8.092501528883034e-10, ""real_relative"": 2.0041891024915837e-14, ""reference_N"": 600, ""reference_mode_converged"": true}]",3.473620325900561e-11,6.434885536137799e-13
a0.150000_32+2_30+0,32+2,0.15,0.2930448793705011,30+0,0.14979560075217674,-8.807995910751757e-06,1.7540905814477453e-06,7.553582468857593e-08,0.9999999999990672,1.4517532073948618e-12,1048.3391006115264,7.52940781149313e-14,3.5816256718563763e-12,2.2539297504872847e-21,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 0.001, ""gamma_metric"": 1.498188902957493e-06, ""passed"": true, ""r99_relative"": 2.800639014118011e-07, ""real_relative"": 3.351371099934546e-11, ""reference_N"": 600, ""reference_mode_converged"": true}]",2.042896265146564e-10,1.7256073494472843e-12
a0.150000_32+2_32+0,32+2,0.15,0.2930448793705011,32+0,0.14981085291351648,-4.0610136710686203e-16,6.000002550872259,5.4733027349823985e-18,0.9999999999996556,-1.5812220703992258e-15,962.9008265596835,2.882549511373457e-12,6.7790982964726e-13,4.447005643541974e-16,True,"ok; adaptive N=400, reference N=600",400,"[{""candidate_N"": 400, ""candidate_mode_converged"": true, ""gamma_limit"": 1e-15, ""gamma_metric"": 5.261487081897152e-19, ""passed"": true, ""r99_relative"": 2.544143714121664e-11, ""real_relative"": 0.0, ""reference_N"": 600, ""reference_mode_converged"": true}]",1.2112022284793369e-11,3.4439481219527917e-13
