point_id,alpha,chi,initial,final,kernel_status,failure_stage,omega_res_M,r_99_M,message,hydrogenic_kernel_M_real,hydrogenic_kernel_M_imag,hydrogenic_kernel_M_abs,semirelativistic_kernel_M_real,semirelativistic_kernel_M_imag,semirelativistic_kernel_M_abs,covariant_kernel_M_real,covariant_kernel_M_imag,covariant_kernel_M_abs
a0.150000_43+3_43+1,0.15,0.19788272838955467,43+3,43+1,ok,,1.703196722546707e-09,1539.8770709711612,q-independent covariant adiabatic Kerr kernel,13770.607453181849,-0.0,13770.607453181849,6.813919424212227e-12,-13588.52616643447,13588.52616643447,0.07595691687997097,-13590.508538818676,13590.508539030938
a0.175000_21+1_21-1,0.175,0.6216782805117498,21+1,21-1,ok,,1.82597447136168e-06,367.802048688647,q-independent covariant adiabatic Kerr kernel,1679.3002915451843,-0.0,1679.3002915451843,0.08418366473712162,1531.8393917197645,1531.8393940329604,-2.0420600823448294,1529.9208940301426,1529.9222568481612
a0.175000_32+2_30+0,0.175,0.33904986037164353,32+2,30+0,ok,,1.5064968253250544e-05,753.9535784851577,q-independent covariant adiabatic Kerr kernel,-7271.583565303705,0.0,7271.583565303705,249.02841341866238,6880.522719148979,6885.027816894793,77.99570132220148,6829.456041370002,6829.901401223151
a0.175000_32+2_32+0,0.175,0.33904986037164353,32+2,32+0,ok,,5.039750383684094e-08,705.375170231738,q-independent covariant adiabatic Kerr kernel,4113.4288391927275,-0.0,4113.4288391927275,1.0032652510951545e-07,3974.6524169499344,3974.6524169499344,-0.29628697575260005,3974.7432669124396,3974.7432779554133
a0.175000_43+3_41+1,0.175,0.22998438294690704,43+3,41+1,ok,,1.5730891493870303e-06,1319.676369303323,q-independent covariant adiabatic Kerr kernel,-21241.655186670298,0.0,21241.655186670298,-0.02350936790765756,21025.39864067053,21025.398640683674,-96.05182244750314,21011.314118592203,21011.533664698243
a0.175000_43+3_43+1,0.175,0.22998438294690704,43+3,43+1,ok,,5.0195683026776905e-09,1129.4694932464442,q-independent covariant adiabatic Kerr kernel,8671.869416581005,-0.0,8671.869416581005,-4.765844102449633e-12,8516.06448677494,8516.06448677494,-0.1030957912605372,8517.77959663569,8517.779597259605
a0.200000_21+1_21-1,0.2,0.6870453082262964,21+1,21-1,ok,,4.842720616266005e-06,279.050964981982,q-independent covariant adiabatic Kerr kernel,1124.9999999999955,-0.0,1124.9999999999955,0.20552358622230946,994.6578667940468,994.6578880274504,-2.588832754261446,993.0368646790553,993.0402391981091
a0.200000_32+2_30+0,0.2,0.38381417168437565,32+2,30+0,ok,,2.52328980794303e-05,566.4578497762564,q-independent covariant adiabatic Kerr kernel,-4871.392896287439,0.0,4871.392896287439,272.90678419019713,4573.368680295225,4581.504032385253,124.94558195637515,4520.444753793938,4522.171178820363
a0.200000_32+2_32+0,0.2,0.38381417168437565,32+2,32+0,ok,,1.289975702090107e-07,538.1330369393193,q-independent covariant adiabatic Kerr kernel,2755.675960631063,-0.0,2755.675960631063,3.5979629438551273e-07,2634.4927208202635,2634.4927208202635,-0.38527863982872984,2634.597396475218,2634.597424646435
a0.200000_43+3_41+1,0.2,0.2616901964540883,43+3,41+1,ok,,3.1403250196071486e-06,1003.108436434236,q-independent covariant adiabatic Kerr kernel,-14230.24947075763,0.0,14230.24947075763,-0.043823767887902695,14036.942242123117,14036.942242191528,-97.59228233186265,14024.00040829656,14024.339973969285
a0.200000_43+3_43+1,0.2,0.2616901964540883,43+3,43+1,ok,,1.2809046601169882e-08,863.1018570710312,q-independent covariant adiabatic Kerr kernel,5809.475019311098,-0.0,5809.475019311098,2.1289184819559577e-11,5673.410229926209,5673.410229926209,-0.13430647691008016,5674.926555789605,5674.926557378897
a0.225000_21+1_21-1,0.22499999999999998,0.7451164771597604,21+1,21-1,ok,,1.1657759158803516e-05,218.2246252287087,q-independent covariant adiabatic Kerr kernel,790.12345679012,-0.0,790.12345679012,-0.4725275573487852,-672.6692256873571,672.6693916547125,3.105516828401753,-671.2725468363343,671.2797303441465
a0.225000_32+2_30+0,0.22499999999999998,0.42720644409330955,32+2,30+0,ok,,3.707986412618269e-05,440.54492043866804,q-independent covariant adiabatic Kerr kernel,-3421.3349285310956,0.0,3421.3349285310956,276.64804754635435,3206.553309056664,3218.465203483401,152.25076259905947,3152.9954219284655,3156.669197970205
a0.225000_32+2_32+0,0.22499999999999998,0.42720644409330955,32+2,32+0,ok,,2.960116765454712e-07,423.4882562451459,q-independent covariant adiabatic Kerr kernel,1935.3993029397864,-0.0,1935.3993029397864,1.1551108948766764e-06,1827.9186333245834,1827.9186333245834,-0.4851595012891795,1828.0374642412276,1828.0375286216743
a0.225000_43+3_41+1,0.22499999999999998,0.29295040433420133,43+3,41+1,ok,,5.820345599955035e-06,785.8889852962845,q-independent covariant adiabatic Kerr kernel,-9994.35902472964,0.0,9994.35902472964,-0.0742685024597375,9818.099194477818,9818.099194758719,-99.4549231345414,9805.891090634203,9806.39543171266
a0.225000_43+3_43+1,0.22499999999999998,0.29295040433420133,43+3,43+1,ok,,2.9283977229233038e-08,680.4972650925578,q-independent covariant adiabatic Kerr kernel,4080.1799861279587,-0.0,4080.1799861279587,9.985545971992997e-12,3959.4968340194114,3959.4968340194114,-0.16952406437313078,3960.860225239873,3960.860228867672
a0.250000_21+1_21-1,0.25,0.7959734945938708,21+1,21-1,ok,,2.6106406305695384e-05,174.7267776506909,q-independent covariant adiabatic Kerr kernel,575.9999999999978,-0.0,575.9999999999978,-1.0302027517702965,-468.3495377021181,468.35067074094974,3.4609009414228042,-467.1058904800511,467.11871163173055
a0.250000_32+2_30+0,0.25,0.4691111948076628,32+2,30+0,ok,,4.88162443629675e-05,352.2581126059795,q-independent covariant adiabatic Kerr kernel,-2494.153162899174,0.0,2494.153162899174,266.71234260185264,2348.8367689934025,2363.930972146085,164.1092385355705,2294.938909593812,2300.7990874781653
