alpha,chi,q,status,residual,discriminant_normalized,omega_res_M,radius_M,radius_over_cloud,eta_M,delta_gamma_M,analytic_q
0.06716163415705019,0.5495,2.5359684133517,root_q_gt_1,0.0,0.0,4.202560546218938e-09,585005.7564937595,659.6941876945582,3.7630688679728e-13,7.5261377359456e-13,2.535968413351702
0.06716163415705019,0.5544944444444445,2.4522961852624685,root_q_gt_1,1.3303007167552244e-16,1.5940040494088707e-16,4.2407579168695374e-09,576864.3427713627,650.5133492965361,3.79516430369889e-13,7.590328607397779e-13,2.4522961852624685
0.06716163415705019,0.5594888888888889,2.373834673223183,root_q_gt_1,9.234162942874712e-16,9.40459305381825e-16,4.278955287520137e-09,569048.6973057803,641.6998704042459,3.8271978491749753e-13,7.654395698349944e-13,2.373834673223175
0.06716163415705019,0.5644833333333333,2.300110244988981,root_q_gt_1,1.308237658351312e-16,7.707846679302888e-17,4.317152658170737e-09,561536.3552713722,633.2284180791005,3.8591686771783046e-13,7.718337354356608e-13,2.30011024498898
0.06716163415705019,0.5694777777777777,2.2307049610038643,root_q_gt_1,1.297509958811874e-16,1.5163909015347612e-16,4.3553500288213365e-09,554307.0346839734,625.0761209101435,3.891075948301441e-13,7.782151896602881e-13,2.2307049610038647
0.06716163415705019,0.5744722222222223,2.1652486215246354,root_q_gt_1,1.286977895112238e-16,7.459366567662142e-17,4.393547399471936e-09,547342.3662228297,617.2222643420071,3.922918810485221e-13,7.845837620970443e-13,2.1652486215246354
0.06716163415705019,0.5794666666666667,2.10341213866619,root_q_gt_1,2.553273012458421e-16,2.2019910408371225e-16,4.431744770122536e-09,540625.6632248183,609.648031304001,3.954696398528352e-13,7.909392797056702e-13,2.1034121386661875
0.06716163415705019,0.5844611111111111,2.044901982807799,root_q_gt_1,2.532962006995888e-16,2.8894629216732505e-16,4.4699421407731355e-09,534141.7249364932,602.336280343096,3.9864078335721146e-13,7.972815667144227e-13,2.044901982807799
0.06716163415705019,0.5894555555555556,1.989455505528909,root_q_gt_1,2.513013526837428e-16,2.844129893721171e-16,4.508139511423736e-09,527876.6674524812,595.2713549780084,4.0180522225586003e-13,8.036104445117198e-13,1.9894555055289083
0.06716163415705019,0.59445,1.9368369818082045,root_q_gt_1,0.0,0.0,4.546336882074336e-09,521817.7778227928,588.4389191802063,4.0496286576607227e-13,8.099257315321445e-13,1.9368369818082054
0.06716163415705019,0.5994444444444444,1.8868342456611769,root_q_gt_1,1.2370843624415896e-16,1.3784417057232391e-16,4.584534252724935e-09,515953.38764459954,581.8258148269871,4.0811362156821826e-13,8.162272431364366e-13,1.886834245661179
0.06716163415705019,0.6044388888888889,1.8392558179336076,root_q_gt_1,1.2276277206635795e-16,6.787239082212719e-17,4.622731623375534e-09,510272.7631166447,575.419937718995,4.112573957425348e-13,8.225147914850695e-13,1.8392558179336067
0.06716163415705019,0.6094333333333333,1.793928444253364,root_q_gt_1,0.0,0.0,4.660928994026134e-09,504766.0090647906,569.2101293525874,4.143940927024879e-13,8.287881854049758e-13,1.793928444253363
0.06716163415705019,0.6144277777777778,1.7506949763930129,root_q_gt_1,1.2092034104248887e-16,6.585041272571581e-17,4.6991263646767344e-09,499423.984874186,563.1860821189543,4.175236151244781e-13,8.350472302489561e-13,1.7506949763930113
0.06716163415705019,0.6194222222222222,1.709412542427348,root_q_gt_1,2.400456168484382e-16,2.5950595911844827e-16,4.737323735327334e-09,494238.23060918006,557.3382559916688,4.2064586387362945e-13,8.412917277472587e-13,1.709412542427348
0.06716163415705019,0.6244166666666666,1.6699509607762715,root_q_gt_1,2.3828114978898127e-16,2.557049578571333e-16,4.775521105977934e-09,489200.9018834293,551.6578050815758,4.2376073792539164e-13,8.475214758507835e-13,1.669950960776272
0.06716163415705019,0.6294111111111111,1.6321913610311094,root_q_gt_1,2.3654657670330787e-16,1.8899676588273467e-16,4.813718476628534e-09,484304.7122727242,546.136512697392,4.268681342826529e-13,8.53736268565306e-13,1.6321913610311096
0.06716163415705019,0.6344055555555556,1.59602498077567,root_q_gt_1,1.1742060816889356e-16,1.241876534438468e-16,4.851915847279134e-09,479542.88225216564,540.7667337636262,4.2996794788803964e-13,8.599358957760794e-13,1.5960249807756703
