point_id,radius_M,theta,connection_abs,divergence_abs,residual,naive_result_relative,conditioning_scale,connection_stencil_residual,divergence_stencil_residual,difference_scale_coarse,difference_scale_fine
a0.100000_21+1_21-1,919.3506712030203,2.31,0.03645421572416964,0.036454215724171186,5.239303779161943e-20,7.574517093379839e-14,52702.24666618935,1.1154813546465116e-19,2.821652563856015e-19,0.2,0.1
a0.250000_32+2_30+0,1.8851391096005923,0.37,2.9634642877878964e-12,2.963464284796525e-12,4.845997005801751e-12,1.0946324177186545e-09,6.693986963426661e-10,4.11304617475573e-08,4.055139851737962e-08,0.2,0.1
a0.250000_32+2_30+0,1.8851391096005923,0.91,1.959455798653859e-09,1.9594557986205945e-09,5.961828700826174e-12,4.533886358917322e-11,1.4901384058866142e-08,3.305951448528106e-07,3.260227534491238e-07,0.2,0.1
a0.250000_32+2_30+0,1.8851391096005923,1.57,7.457494740802605e-08,7.457494740761412e-08,5.894420105900993e-12,5.894420105900993e-12,5.246261081152891e-08,7.57066587186604e-07,7.465746937947448e-07,0.2,0.1
a0.250000_32+2_30+0,1.8851391096005923,2.31,5.655149133367351e-07,5.655149133419348e-07,9.450442923787343e-12,9.450442923787343e-12,5.015010881137213e-08,1.5000214538915755e-07,1.4792163671398016e-07,0.2,0.1
a0.250000_32+2_30+0,119.52306443160843,0.37,0.004146077495328547,0.004146077495329471,1.6854696987975537e-14,2.8230361115689083e-12,0.6944370758506369,5.316359648947783e-15,1.5356966310147907e-14,0.2,0.1
a0.250000_32+2_30+0,119.52306443160843,0.91,0.09427350325740515,0.09427350325738854,2.536036889267965e-15,2.9009289055383018e-12,107.83783618569795,2.7905834123143514e-16,1.4301818366532144e-15,0.2,0.1
a0.250000_32+2_30+0,119.52306443160843,1.57,0.2437575793854181,0.24375757938538392,6.360738121356886e-16,3.0223522674473233e-12,1158.2323603126588,2.917360434799351e-16,6.884731568467449e-16,0.2,0.1
a0.250000_32+2_30+0,119.52306443160843,2.31,0.0787795597361211,0.07877955973609464,6.584537199475623e-17,1.4830430345987372e-12,1774.3612617863841,8.407968781642138e-17,1.0675348358141481e-16,0.2,0.1
a0.250000_32+2_30+0,273.19557584367647,0.37,0.004219412538225701,0.004219412538225921,8.212585279114128e-17,7.2051042738607e-14,3.7017950230201233,3.085194432989375e-16,7.46758611582862e-17,0.2,0.1
a0.250000_32+2_30+0,273.19557584367647,0.91,0.09583500433190272,0.09583500433190509,5.117842674106428e-18,3.069988639554684e-14,574.8757695487227,6.674880650161385e-18,4.770774581996623e-17,0.2,0.1
a0.250000_32+2_30+0,273.19557584367647,1.57,0.24640010866297948,0.2464001086630345,9.342035463701312e-18,2.3411885315118383e-13,6174.983073085143,9.548424889150085e-18,9.567715198385616e-18,0.2,0.1
a0.250000_32+2_30+0,273.19557584367647,2.31,0.07392340117842708,0.07392340117843627,4.78715290035687e-18,6.126050644292513e-13,9459.871218729904,5.418352014426058e-18,1.4379715143815695e-17,0.2,0.1
a0.450000_43+3_41+1,1.8388496304379016,0.37,4.512428356527349e-13,4.5124283556548897e-13,9.1666244814262e-13,2.4504283441059093e-10,1.2062654435105087e-10,2.2056277814456677e-08,2.1493798612263574e-08,0.2,0.1
a0.450000_43+3_41+1,1.8388496304379016,0.91,6.50470562403705e-10,6.504705624231074e-10,3.363307432153729e-12,3.0060802466592e-11,5.813820913425282e-09,1.896486190422654e-07,1.8498879433515186e-07,0.2,0.1
a0.450000_43+3_41+1,1.8388496304379016,1.57,3.565554034260424e-08,3.5655540342887094e-08,8.105686435223323e-12,8.105686435223323e-12,2.6180636985387628e-08,4.6194177509357406e-07,4.506075042947087e-07,0.2,0.1
a0.450000_43+3_41+1,1.8388496304379016,2.31,2.183943152909892e-07,2.1839431529279435e-07,8.37600323425554e-12,8.37600323425554e-12,1.9496031841208925e-08,8.310693999963392e-08,8.106815578759968e-08,0.2,0.1
