x,omega_M,population_211,population_21m1,norm
-10145.084118085055,8.011551826499432e-08,0.999924050339664,7.449047066521476e-05,0.9999985408103292
-10145.08410952087,8.011551826700723e-08,0.999921192175756,7.720182440216724e-05,0.9999983940001582
-10145.084100956687,8.011551826902014e-08,0.9999186503314568,7.95919191299865e-05,0.9999982422505868
-10145.084092392502,8.011551827103305e-08,0.9999164475487069,8.163865642497477e-05,0.9999980862051319
-10145.084083828318,8.011551827304595e-08,0.9999146033567066,8.332319024701038e-05,0.9999979265469536
-10145.084075264134,8.011551827505887e-08,0.9999131338956113,8.463009678092437e-05,0.9999977639923923
-10145.08406669995,8.011551827707178e-08,0.9999120517722422,8.554751196636553e-05,0.9999975992842085
-10145.08405743905,8.011551827924845e-08,0.999911327773399,8.609186096997455e-05,0.999997419634369
-10145.084047133074,8.011551828167073e-08,0.9999110744664382,8.614452750336803e-05,0.9999972189939416
-10145.084036827098,8.011551828409304e-08,0.9999114041901752,8.561471961752897e-05,0.9999970189097928
-10145.084026521123,8.011551828651534e-08,0.9999123104285073,8.451030207708187e-05,0.9999968207305844
-10145.084016215147,8.011551828893763e-08,0.9999137788823206,8.28468952805882e-05,0.9999966257776012
-10145.084005909172,8.011551829135993e-08,0.9999157876810079,8.06476459311449e-05,0.999996435326939
-10145.083995603196,8.011551829378223e-08,0.999918307695908,7.79428964365707e-05,0.9999962505923445
-10145.08398529722,8.011551829620452e-08,0.9999213029511933,7.476975774654145e-05,0.9999960727089399
-10145.083974991245,8.011551829862683e-08,0.9999247311264182,7.117159162923704e-05,0.9999959027180475
-10145.08396468527,8.011551830104911e-08,0.9999285441437186,6.719740960105911e-05,0.9999957415533196
-10145.083954379294,8.011551830347142e-08,0.9999326888315222,6.290119683358484e-05,0.9999955900283558
-10145.083944073318,8.011551830589372e-08,0.9999371076556169,5.834117035735012e-05,0.9999954488259742
-10145.083933767342,8.011551830831601e-08,0.9999417395075267,5.357898174910639e-05,0.9999953184892758
-10145.083923461367,8.011551831073831e-08,0.9999465205394034,4.867887521644198e-05,0.9999951994146198
-10145.083913155391,8.01155183131606e-08,0.9999513850340283,4.3706812571588525e-05,0.9999950918465998
